财富,姓名,主要公司,相关行业,省份,城市,性别,年龄
4562.7,钟睒睒,农夫山泉/万泰生物,矿泉水饮料、医药生物,浙江,杭州/北京,男,70
4248.5,黄峥,拼多多,电商,上海,,男,44
3402.0,张一鸣,字节跳动,推荐引擎产品、短视频,北京,,男,41
2121.9,马化腾,腾讯控股,互联网综合服务,广东,深圳,男,53
2073.1,马云,阿里巴巴,互联网综合服务,浙江,杭州,男,60
1915.0,丁磊,网易,互联网综合服务,浙江,杭州,男,53
1676.2,曾毓群,宁德时代,动力电池、储能电池,福建,宁德,男,56
1477.2,何享健/何剑锋,美的集团,家电,广东,佛山,男/男,81/57
1408.4,王健林/王思聪,万达集团,地产、文化、金融,北京,,男/男,69/36
1229.5,秦英林/钱瑛,牧原股份,畜禽养殖,河南,南阳,男/女,59/58
1220.9,李书福/李星星,吉利集团,汽车、摩托车制造,浙江,杭州,男/男,61/39
1197.5,魏建军,长城汽车,汽车制造,河北,保定,男,60
1142.8,王来胜/王来春,香港立讯,智能硬件代工,广东,深圳,男/女,60/57
1025.3,雷军家族,小米集团/顺为资本,智能手机、汽车,北京,,男,54
1016.8,王传福,比亚迪,新能源车、IT,广东,深圳,男,58
988.6,李西廷,迈瑞医疗,医疗器械,广东,深圳,男,73
957.3,徐航,迈瑞医疗,医疗器械、房地产,广东,深圳,男,62
953.3,王卫,顺丰控股,物流,广东,深圳,男,53
890.4,李水荣家族,荣盛控股,化纤,浙江,杭州,男,68
863.6,蒋仁生/蒋凌峰,智飞生物,生物制品,重庆,,男/男,71/44
814.5,吕向阳,融捷投资管理,投资,广东,广州,男,62
810.0,许仰天,希音,电商,广东,广州,男,40
808.3,宗馥莉,娃哈哈集团,食品饮料,浙江,杭州,女,42
762.2,党彦宝,宝丰能源,煤化工、煤基新材料,宁夏,灵武,男,51
760.6,黄世霖,宁德时代,动力电池,福建,宁德,男,57
738.0,蔡浩宇,米哈游,游戏,上海,,男,37
726.7,张志东,腾讯控股,互联网综合服务,广东,深圳,男,52
722.8,林立,立业集团,投资,广东,深圳,男,61
716.4,阮立平/阮学平,公牛集团,插座、接线板,浙江,慈溪,男/男,60/52
710.4,丁世忠/丁世家,安踏体育,纺织服装,福建,晋江,男/男,53/59
700.0,刘永行,东方希望集团,饲料、投资、铝业,上海,,男,76
681.3,陈建华/范红卫,恒力集团,石化、聚酯、地产、织造,江苏,苏州,男/女,53/57
661.1,项光达家族,青山集团,钢铁、镍,浙江,温州,男,66
651.7,李想,理想汽车,新能源汽车,北京,,男,42
645.3,孙飘扬,恒瑞医药,制药,江苏,连云港,男,66
633.7,陈邦,爱尔眼科,眼科医疗服务,湖南,长沙,男,59
607.7,钟慧娟/孙远,翰森制药,制药,上海,,女/女,63/37
591.5,王兴,美团,互联网生活服务,北京,,男,45
584.7,李彦宏,百度,互联网综合服务,北京,,男,56
576.2,庞康,海天味业,调味品,广东,佛山,男,68
568.4,朱保国,健康元药业,成品药,广东,深圳,男,62
568.4,王玉锁/赵宝菊,新奥集团,燃气、投资、旅游,河北,廊坊,男/女,60/59
566.7,岑均达,恒瑞医药/翰森制药,制药,江苏,连云港,男,60
556.1,张红超/张红甫,蜜雪冰城,茶饮,河南,郑州,男/男,48/40
537.4,张聪渊家族,华利集团,运动鞋设计制造,广东,中山,男,76
528.6,梁稳根,三一集团,建筑及起重机械、风机,北京,,男,68
509.8,邬建树,拓普集团,汽车动力底盘、饰件、智能驾驶控制系统,浙江,宁波,男,60
504.8,其实/陆丽丽,东方财富,金融信息、证券,上海,,男/女,54/-
504.1,朱艳,贝壳/链家,地产中介,北京,,女,53
501.2,陈东升/陈奕伦,泰康人寿,保险、拍卖,北京,,男/男,67/36
494.1,刘汉元/管亚梅,通威集团,饲料、新能源,四川,成都,男/女,60/60
489.3,汪立平家族,恒立液压,液压设备,江苏,常州,男,58
482.3,张勇/舒萍,海底捞,火锅连锁,四川,成都,男/女,53/54
473.8,罗立国,合盛硅业,硅业,浙江,嘉兴,男,68
463.9,马建荣/黄关林,申洲国际,服装,浙江,宁波,男/男,60/58
463.9,李华/李晓平,卓越集团,房地产,广东,深圳,男/男,58/66
458.3,虞仁荣,韦尔股份,半导体器件,上海,,男,58
439.3,林木勤家族,东鹏饮料,能量饮料,广东,深圳,男,60
438.2,裴振华/容建芬,天华新能/宁德时代,静电与微污染防控、动力电池,江苏,苏州,男/女,65/61
426.0,陈凯旋家族,立白集团,洗涤用品,广东,广州,男,66
418.2,沈文荣,江苏沙钢集团,钢铁,江苏,苏州,男,78
417.4,龚虹嘉家族,富年科技,投资,广东,广州,男,59
417.0,朱义,百利天恒,化药、中成药,四川,成都,男,61
409.0,周群飞,蓝思科技,玻璃、汽车零部件,湖南,浏阳,女,54
409.0,刘强东/章泽天,京东,电商,北京,,男/女,50/31
406.8,刘伟,米哈游,游戏,上海,,男,37
404.2,陆风,万得资讯,金融信息服务,上海,,男,55
400.0,陈丽华,富华国际集团,房地产、紫檀家具,北京,,女,83
400.0,汪滔,大疆创新,无人机,广东,深圳,男,43
399.0,曹仁贤,阳光电源,光伏逆变器、电站,安徽,合肥,男,56
398.8,许世辉家族,达利食品,食品饮料,福建,泉州,男,66
390.0,徐浩宇,扬子江药业,制药,江苏,泰州,男,54
387.1,张波家族,魏桥创业,铝业、纺织,山东,邹平,男,54
385.2,罗宇皓,米哈游,游戏,上海,,男,35
381.0,汪俊林,郎酒,白酒,四川,成都,男,57
378.0,李惠中家族,李锦记,调味品,香港,,男,-
377.4,刘永好/刘畅,新希望集团,饲料、金融、乳业、房地产,四川,成都,男/女,72/44
371.2,胡凯军,中国远大集团,医药健康、置业、贸易,北京,,男,62
369.4,尤小平家族,华峰集团,化纤、铝业,浙江,温州,男,66
361.3,方威,辽宁方大集团,航空、炭素、钢铁、化工、医疗,北京,,男,51
352.7,于泳,鸿商控股集团,投资,上海,,男,-
347.4,刘金成家族,亿纬锂能,锂电池,广东,惠州,男,60
331.5,李振国/李喜燕,隆基绿能,光伏,陕西,西安,男/女,56/-
330.0,张志祥,建龙集团,钢铁、造船,北京,,男,57
329.4,李革,药明康德,医药研发外包,江苏,无锡,男,57
328.9,李平,宁德时代,动力电池,福建,宁德,男,56
326.1,李小冬,冬海集团,游戏、电商、金融,新加,坡,男,46
325.4,靳保芳,晶澳科技,光伏,河北,邢台,男,72
322.5,林斌,小米集团,智能手机、汽车,北京,,男,56
320.7,吴亚军/蔡馨仪,龙湖集团,房地产,北京,,女/女,60/-
318.5,赖梅松,中通快递,物流,上海,,男,54
316.4,茅理翔/茅忠群,方太厨具,厨具,浙江,宁波,男/男,83/55
315.2,姚良松,欧派家居,家居制造,广东,广州,男,60
314.5,张兴海家族,赛力斯,汽车整车,重庆,,男,61
304.7,易峥,同花顺,互联网金融数据服务,浙江,杭州,男,54
297.5,李春安,隆基绿能,光伏,陕西,西安,男,56
297.5,阮洪良家族,福莱特,光伏、浮法、家居、工程玻璃,浙江,嘉兴,男,63
290.8,张寓帅/郭梅兰,东阳光实业,铝业、制药,广东,深圳,男/女,37/-
289.6,曾芳勤,领益智造,电子元器件、手机电脑销售,广东,江门,女,59
287.3,叶国富,名创优品,零售,广东,广州,男,46
285.0,谢炳/郑翔玲,中国生物制药,生物制药,北京,,男/女,72/60
283.7,张文中,物美控股,连锁商超,北京,,男,72
280.1,林建华/张虹,福斯特,EVA太阳能电池胶膜,浙江,临安,男/女,62/63
276.3,傅利泉/陈爱玲,大华股份/零跑汽车,安防系统、电动车,浙江,杭州,男/女,57/57
273.3,陈发树,新华都,投资、零售,福建,福州,男,63
273.3,薛敏,联影医疗,医疗器械,上海,,男,67
270.4,蒋卫平/张静,天齐锂业,矿产,四川,射洪,男/女,69/-
270.0,宋涛,米哈游,游戏,上海,,男,-
263.7,沈国军,中国银泰,房地产、零售,北京,,男,62
262.0,肖安江/肖自江,五江轻化,钛合金、轻化,湖南,涟源,男/男,61/74
258.0,张刚,信发铝电,发热、供电、电解铝,山东,聊城,男,43
255.4,张峻/陶美萦,富德控股集团,保险、投资,广东,深圳,男/女,60/-
255.0,戴笠家族,德龙镍业,钢铁,江苏,盐城,男,-
249.9,张道才家族,三花智控,房地产、制冷、汽车零部件,浙江,绍兴,男,74
249.3,缪汉根,盛虹集团,纺织、热电、地产,江苏,吴江,男,59
247.3,郑坚江家族,奥克斯集团,空调、地产,浙江,宁波,男,63
245.8,吴向东,珍酒李渡,白酒,贵州,遵义,男,55
243.4,董经贵/钱静红,雅迪控股,电动车,江苏,无锡,男/女,54/51
242.8,简军,爱美客,注射类医美产品,北京,,女,61
240.3,王文京,用友软件,软件,北京,,男,60
238.7,米恩华,华凌集团,建材、贸易、批发市场,新疆,乌鲁木齐,男,67
237.7,林定强家族,金辉集团,房地产,北京,,男,58
236.4,高德康家族,波司登,羽绒服,上海,,男,72
229.5,季琦,华住酒店,酒店、度假村与豪华游轮,上海,,男,57
228.2,汪建,华大基因/华大智造,基因组学研发、基因测序仪,广东,深圳,男,70
226.3,张和君,德业股份,逆变器、蒸发器、冷凝器,浙江,宁波,男,72
224.0,王燕清/王磊,先导智能/微导纳米,通用机械,江苏,无锡,男/男,57/30
219.6,姜滨家族,歌尔声学,声学及多媒体产品,山东,潍坊,男,58
219.4,郑驹,杉杉集团,锂电池材料、矿业、服装,上海,,男,33
219.3,李晓明家族,恩捷股份,隔膜、包装品印刷、纸制品,云南,玉溪,男,66
218.5,曹德旺家族,福耀玻璃,汽车玻璃、建筑玻璃,福建,福清,男,78
216.9,林凡连,奥德集团,石油、金融、房地产等,山东,临沂,男,63
216.5,江南春,分众传媒,楼宇及其他媒体广告,上海,,男,51
215.8,王文彪,亿利资源,煤化工,北京,,男,65
215.1,李仙德家族,晶科能源/晶科电力,光伏、电站,江西,上饶,男,49
215.1,赵立新,格科微,IC设计,上海,,男,58
212.2,陈天桥,盛大集团,投资,上海,,男,51
211.6,温鹏程家族,温氏集团,畜禽养殖,广东,云浮,男,62
211.5,陈湖雄/陈湖文,晨光文具,文具,上海,,男/男,54/54
210.8,吴以岭家族,以岭药业,医药制造,河北,石家庄,男,75
210.0,谢良志,神州细胞/义翘神州,创新药、重组蛋白、单抗,北京,,男,58
207.7,朱共山/朱钰峰,保利协鑫能源,新能源,上海,,男/男,66/43
207.5,叶澄海家族,信立泰,制药,广东,深圳,男,81
205.9,虞锋,云锋基金,投资,上海,,男,61
205.3,宿华,快手,短视频,北京,,男,42
203.7,高纪凡家族,天合光能,光伏,江苏,常州,男,59
203.4,周晓萍,星宇股份,汽车灯具,江苏,常州,女,63
201.9,赵燕,华熙国际,文化、体育、健康,北京,,女,57
201.2,王均金家族,均瑶集团,航空、乳品、房地产,上海,,男,56
200.7,周超男,润泽科技,数据中心,上海,,女,64
200.0,王义政,福佳集团,石化、地产、保险,辽宁,大连,男,56
200.0,沈南鹏,红杉中国,投资,上海,,男,57
200.0,张磊,高瓴资本,投资,新加,坡,男,52
198.0,吴少勋,劲牌,保健酒,湖北,黄石,男,70
198.0,李丐腾,飞科电器,白色家电,上海,,男,52
197.9,黄立,高德电气,红外热像仪,湖北,武汉,男,61
197.7,安康家族,华兰生物/华兰疫苗,血液及疫苗制品,河南,新乡,男,75
195.6,李华,富途控股,互联网券商,广东,深圳,男,46
195.2,侯军呈/方玉友,珀莱雅,化妆品,浙江,杭州,男/男,60/55
195.0,张雷,远景能源,风机、储能、动力电池,江苏,无锡,男,47
192.7,金惠明家族,大华集团,地产、物业、教育,上海,,男,71
191.1,严建亚/范代娣,巨子生物/三角防务,重组胶原蛋白、飞机零部件,陕西,西安,男/女,58/58
190.9,程雪,海天味业,调味品,广东,佛山,女,54
190.7,谢秉昆,坤彩科技,珠光材料,福建,福清,男,58
190.4,柯桂华家族,科博达,汽车照明电子,上海,,男,59
189.5,黄伟/李萍,新湖集团,房地产、投资,浙江,杭州,男/女,65/-
189.0,黄楚龙,星河集团,房地产,广东,深圳,男,59
188.9,楼天城,小马智行,无人驾驶,北京,,男,38
187.6,胡柏藩,新和成,制药,浙江,绍兴,男,61
185.9,蔡东晨,石药集团,创新药、普药及原料药,河北,石家庄,男,70
185.9,李贤义家族,信义玻璃/信义光能,玻璃、光伏发电,香港,,男,72
184.7,翁先定,新产业,体外诊断产品,广东,深圳,男,63
183.7,程一笑,快手,短视频,北京,,男,40
183.2,何小鹏,小鹏汽车,新能源车,广东,广州,男,47
183.0,项光明家族,伟明环保,垃圾焚烧发电,浙江,温州,男,61
182.6,夏佐全,比亚迪,汽车整车,广东,深圳,男,61
182.6,任正非,华为投资控股,通信、智能设备,广东,深圳,男,80
181.6,郭广昌,复星集团,医药、地产、信息、金融,上海,,男,57
180.7,杨惠妍,碧桂园控股,房地产,广东,佛山,女,42
180.1,刘益谦,新理益,投资,上海,,男,61
179.6,刘卫平/刘福平,卫龙美味,辣条,河南,漯河,男/男,45/42
179.2,邓伟明/吴小歌,中伟股份,锂电池正极材料前驱体,贵州,铜仁,男/女,56/52
177.1,曹龙祥,济川药业,制药,江苏,泰州,男,67
177.1,鲁伟鼎,万向集团,汽车零部件,浙江,杭州,男,53
175.2,徐金富,天赐材料,精细化工新材料,广东,广州,男,60
174.5,戚振波,美腕,直播电商,上海,,男,-
174.1,蒋业华/蒋宇,华宇集团,房地产,重庆,,男/男,60/36
173.5,吴光明家族,鱼跃医疗,医疗设备,江苏,镇江,男,62
172.2,王兵/赵文君,十月稻田,大米、杂粮,辽宁,沈阳,男/女,48/44
172.2,柯云峰家族,大参林,保健品,广东,广州,男,57
171.9,阳萌/贺丽,安克创新,消费电子产品,湖南,长沙,男/女,42/40
169.4,苏庆灿家族,华厦眼科,眼科医疗,福建,厦门,男,55
169.3,丁会/丁会响,嘉立创,EDA、PCB打样,广东,深圳,男/男,45/42
168.4,杜江涛,君正集团,能源、化工、金融,内蒙,古乌海 ,男,55
168.2,洪杰,三棵树,墙面涂料,福建,莆田,男,57
167.2,陈天石,寒武纪,芯片,北京,,男,39
166.3,仇建平家族,巨星科技,五金产品,浙江,杭州,男,62
166.2,李湘平,东明石化,石化,山东,菏泽,男,63
164.3,陈士斌家族,石英股份,石英棒、石英管,江苏,连云港,男,58
163.4,朱兴明,汇川投资,智能装备及机器人,广东,深圳,男,57
162.7,蔡华波家族,江波龙,硬盘、存储,广东,深圳,男,48
162.6,薛华,海大集团,饲料,广东,广州,男,54
162.1,李良彬,赣锋锂业,金属锂、锂化合物,江西,新余,男,57
162.0,周建平/周晏齐,海澜集团,服装、金融,江苏,江阴,男/女,64/41
160.3,黎辉,大钲资本,投资,北京,,男,54
160.1,石克荣,汇福粮油,粮油加工,河北,三河,男,67
160.0,肖永明/林吉芳,藏格钾肥,钾肥,青海,格尔木,男/女,60/-
159.3,蔡奎,龙湖集团,房地产,北京,,男,61
158.8,黄文仔,星河湾集团,房地产,广东,广州,男,71
158.1,常建鸣家族,鸣志电器,传感器、电机,上海,,男,59
156.8,梁庆德/梁昭贤,格兰仕集团,家电,广东,佛山,男/男,87/61
154.7,张静章/张剑鸣,海天国际控股,注塑机,浙江,宁波,男/男,88/62
152.7,喻会蛟/张小娟,圆通速递,物流,上海,,男/女,58/55
152.5,张邦鑫,好未来,教育,北京,,男,44
152.4,李力,爱尔眼科,眼科医疗,湖南,长沙,男,59
152.1,李洪信家族,太阳纸业,造纸,山东,兖州,男,71
152.0,梁丰,璞泰来,锂电池负极材料、设备,上海,,男,56
151.5,李建全家族,稳健医疗,医用敷料和日用消费品,广东,深圳,男,67
151.3,孙喜双,大连一方集团,房地产,辽宁,大连,男,71
151.2,毛文超,小红书,社区电商平台,上海,,男,39
151.2,瞿芳,小红书,社区电商平台,上海,,女,39
150.9,张剑/张格格,爱玛科技,电动自行车,天津,,男/女,55/31
150.5,冷友斌,中国飞鹤,婴幼儿配方奶粉,北京,,男,55
149.7,吴兰兰/王华君,裕同科技,包装印刷,广东,深圳,女/男,50/54
149.6,周亚辉,昆仑万维,网游、投资,北京,,男,47
147.9,许树根,浙江鼎力,机械设备,浙江,湖州,男,59
145.0,王广西/郭天舒,永泰能源,煤炭开采及加工,山西,太原,男/女,55/-
145.0,李仲初,石基信息,酒店及餐饮信息系统,北京,,男,61
144.8,陈学利家族,威高股份,医疗保健用品,山东,威海,男,73
143.8,杨卫东/杨亚珍,卫星石化,丙烯酸,浙江,嘉兴,男/女,56/56
142.7,林刚,康哲药业,药品销售,广东,深圳,男,60
142.6,王振华,新城控股,房地产,上海,,男,62
142.5,张帆,汇顶科技,元件,广东,深圳,男,59
142.4,林秀成/林志强,三安集团,钢铁、光电子,福建,厦门,男/男,69/50
141.7,马韵升,京博控股,化工、贸易、教育,山东,滨州,男,62
140.9,林志雄/林志军,大博医疗,医疗器械,福建,厦门,男/男,51/49
140.8,高云峰,大族激光,激光设备、地产,广东,深圳,男,57
140.4,李杰,极兔速递,全球综合物流,上海,,男,49
137.7,邹支农家族,天孚通信,光器件,江苏,苏州,男,56
137.5,何祖训家族,神农集团,生猪养殖、饲料加工,云南,昆明,男,59
135.4,杨绍鹏,海丰国际,海运,香港,,男,67
134.4,倪永培,迎驾贡酒,白酒,安徽,六安,男,72
132.5,董伟,恒瑞医药,制药,江苏,连云港,男,53
132.3,王伟修/王晓东,中际旭创,高速光模块,山东,烟台,男/男,74/48
132.1,王希成家族,玲珑集团,轮胎,山东,招远,男,76
131.8,顾江生家族,顾家家居,家具,浙江,杭州,男,51
130.0,葛卫东,混沌投资,投资,上海,,男,54
129.6,唐彬森,元气森林,饮料,北京,,男,42
129.0,张立国,敷尔佳,护肤品,黑龙,江哈尔滨,男,60
129.0,沈华/胡畏,斯达半导,IGBT芯片和模块,浙江,嘉兴,男/女,61/60
128.8,张万镇,三环集团,陶瓷类电子元器件,广东,潮州,男,75
128.4,杜双华,京华日钢集团,钢铁,河北,衡水,男,59
128.2,王禄宝/吴美蓉,美科股份,硅片、硅棒,江苏,扬中,男/女,66/64
128.0,范现国,今麦郎,方便面、饮料,河北,邢台,男,64
127.9,王一鸣家族,锦浪科技,光伏组串式逆变器,浙江,宁波,男,43
126.6,李明家族,金徽股份,锌矿、铅矿、酒,甘肃,陇南,男,56
124.8,张宁家族,彤程新材,橡胶用酚醛树脂,上海,,女,50
124.5,姜银台/姜明,岱美股份,汽车内饰件,上海,,男/男,74/45
123.8,钱东奇家族,科沃斯,家庭服务机器人,江苏,苏州,男,66
123.3,王宁/杨涛,泡泡玛特,盲盒,北京,,男/女,37/37
123.2,竺兆江,传音控股,手机,广东,深圳,男,51
122.0,李永新/鲁忠芳,中公教育,公职类就业培训,安徽,芜湖,男/女,48/-
121.5,李如成,雅戈尔,服装、房地产、投资,浙江,宁波,男,73
121.0,梁允超,汤臣倍健,保健品,广东,珠海,男,55
119.9,任建华家族,老板电器,家电制造,浙江,杭州,男,68
118.8,陈志平,思摩尔国际,电子烟,广东,深圳,男,48
118.7,聂腾云/陈立英,韵达股份,物流,上海,,男/女,48/49
117.4,曾超懿/曾超林,天山铝业,铝业,浙江,温岭,男/男,55/42
117.4,黄敏利/许慧卿,敏华科技,家庭装饰品,香港,,男/女,59/60
117.0,沈琦家族,雅克科技,半导体材料，深冷复合材料,江苏,宜兴,男,49
115.0,金磊,佰仁医疗,人工生物心脏瓣膜等,北京,,男,70
113.9,唐咏群/谢菊华,健友股份,肝素原料药,江苏,南京,男/女,49/73
113.9,黄山,财富趋势,证券行情交易系统软件,广东,深圳,男,54
113.8,胡荣达/胡淇翔,三美股份,氟化工产品,浙江,金华,男/男,-/36
113.5,许志翰,卓胜微,芯片设计,江苏,无锡,男,52
113.3,陈雪华,华友钴业,钴铜矿,浙江,桐乡,男,63
113.1,吴旭波,中旭未来,游戏发行、米粉、潮玩,广东,广州,男,39
113.1,叶刚,冬海集团,游戏、电商、金融,新加,坡,男,46
113.0,邱光和家族,森马服饰,服装,浙江,温州,男,73
112.5,樊铮,理想汽车,新能源汽车,北京,,男,45
112.1,王长田家族,光线传媒,影视制作,北京,,男,59
111.3,任晋生家族,先声药业,医药研发,江苏,南京,男,61
111.0,洪浩,凯莱英,制药、医药外包服务,天津,,男,68
111.0,徐旭东,旭升股份,变速箱壳体模型,浙江,宁波,男,54
110.9,张天任,天能股份,铅电池、锂电池,浙江,湖州,男,62
110.9,周鸿祎,奇虎360,互联网综合服务,北京,,男,54
